"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z5e00000062V1AAI","0055e000003ZErQAAW","","O-000044","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","Yes","1.0","a305e0000013MGoAAM","a2z5e00000062V1AAI","","false"
"a2z5e00000062V2AAI","0055e000003ZErQAAW","","O-000046","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","Yes","1.0","a305e0000013MGpAAM","a2z5e00000062V2AAI","","false"
"a2z5e00000062V3AAI","0055e000003ZErQAAW","","O-000048","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","Yes","1.0","a305e0000013MGqAAM","a2z5e00000062V3AAI","","false"
"a2z5e00000062V4AAI","0055e000003ZErQAAW","","O-000049","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","No","2.0","a305e0000013MGqAAM","a2z5e00000062V4AAI","","false"
"a2z5e00000062V5AAI","0055e000003ZErQAAW","","O-000045","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","No","2.0","a305e0000013MGoAAM","a2z5e00000062V5AAI","","false"
"a2z5e00000062V8AAI","0055e000003ZErQAAW","","O-000093","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","Yes - By selecting this option, this record will be marked as an Employee Loan","1.0","a305e0000013MGsAAM","a2z5e00000062V8AAI","","false"
"a2z5e00000062V9AAI","0055e000003ZErQAAW","","O-000089","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","No","2.0","a305e0000013MGtAAM","a2z5e00000062V9AAI","","false"
"a2z5e00000062VOAAY","0055e000003ZErQAAW","","O-000088","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","Yes - By selecting this option, the loan will be marked Reg O Reportable.","1.0","a305e0000013MGtAAM","a2z5e00000062VOAAY","","false"
"a2z5e00000062VRAAY","0055e000003ZErQAAW","","O-000094","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","No","2.0","a305e0000013MGsAAM","a2z5e00000062VRAAY","","false"
"a2z5e00000062VWAAY","0055e000003ZErQAAW","","O-000047","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","No","2.0","a305e0000013MGpAAM","a2z5e00000062VWAAY","","false"
