"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c"
"a2B5e00000011yKEAQ","0055e000003ZErQAAW","","Reg O Loan Questionnaire","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42403246748782453","a2B5e00000011zOEAQ","false","true","","","","","","",""
"a2B5e00000011yLEAQ","0055e000003ZErQAAW","","Reg W","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42609568878702857","a2B5e00000011zPEAQ","false","true","","","","","","",""
"a2B5e00000011yMEAQ","0055e000003ZErQAAW","","HVCRE","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42088290342052409","a2B5e00000011zQEAQ","false","true","","","","","","",""
"a2B5e00000011yNEAQ","0055e000003ZErQAAW","","CRA","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42628075973481801","a2B5e00000011zREAQ","false","true","","","","","","",""
"a2B5e00000011yOEAQ","0055e000003ZErQAAW","","Product Package Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","pp-details","42543592196307027","","false","false","","","","","","",""
"a2B5e00000011yPEAQ","0055e000003ZErQAAW","","Treasury Proforma","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","treasury-proforma","42632675207231296","","false","false","","","","","","",""
"a2B5e00000011yQEAQ","0055e000003ZErQAAW","","HMDA Questionnaire","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42198546854157256","a2B5e00000011zSEAQ","false","true","","","","","","",""
"a2B5e00000011yREAQ","0055e000003ZErQAAW","","Individual KYC","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42245838511199639","","false","true","","","","","","",""
"a2B5e00000011ySEAQ","0055e000003ZErQAAW","","Business KYC","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","","42940369988812827","","false","true","","","","","","",""
"a2B5e00000011yTEAQ","0055e000003ZErQAAW","","Customer Portal","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","customer-portal","42618985083488670","","false","false","","","Customer Dashboard","","","",""
"a2B5e00000011z6EAA","0055e000003ZErQAAW","","MASTER-Loan - Commercial","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","m-commercial","42444854997057659","a2B5e00000011zWEAQ","false","false","","","","","","",""
"a2B5e00000011z9EAA","0055e000003ZErQAAW","","MASTER-Loan","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","m-loan","42044771180104939","a2B5e00000011zXEAQ","false","false","","","","","","",""
"a2B5e00000011zIEAQ","0055e000003ZErQAAW","","Deposit Customer Creation Business","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","dep-cc-bus","42346516231822941","","false","false","","","","","","",""
"a2B5e00000011zKEAQ","0055e000003ZErQAAW","","Loan Customer Creation Business","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:03:50.000Z","0055e000003ZErQAAW","","","","","","loan-cc-bus","42604178718324788","","false","false","","","","","","",""
"a2B5e00000011zNEAQ","0055e000003ZErQAAW","","Commercial Accelerate Loan","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","","","comm-accel-loan","12091615577844223","a2B5e00000011zZEAQ","false","false","","","","","","",""
