"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5e000000IJj2EAG","","SC-000010814","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559sEAA","0.0","LLC_BI__Total_Exposure_Summary","","","","Total Exposure Summary","42789040673412384","LLC_BI__Product_Package__c","","","","false","","false"
"a2H5e000000IJj3EAG","","SC-000010815","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559tEAA","0.0","LLC_BI__Add_Debt_Product_Package","","","","Add Debt","42709977297497576","LLC_BI__Debt__c","","","","false","","false"
"a2H5e000000IJj4EAG","","SC-000010816","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559uEAA","0.0","LLC_BI__Exposure_Exclusion_Enable","","","","Exposure Exclusion Enable","42081656746664639","LLC_BI__Excluded_Exposure__c","","","","false","","false"
"a2H5e000000IJj5EAG","","SC-000010817","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559vEAA","0.0","LLC_BI__Exposure_Exclusion_Disable","","","","Exposure Exclusion Disable","42779948467061750","LLC_BI__Excluded_Exposure__c","","","","false","","false"
"a2H5e000000IJj6EAG","","SC-000010818","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559wEAA","0.0","LLC_BI__TE_Expand_Loan_Product_Package","","","","Expand Loan Product Package","42799029398046243","LLC_BI__Legal_Entities__c","","","","false","","false"
"a2H5e000000IJj7EAG","","SC-000010819","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e000000559xEAA","0.0","LLC_BI__TE_Expand_Debt_Product_Package","","","","Expand Debt Product Package","42394363323272554","LLC_BI__Debt__c","","","","false","","false"
"a2H5e000000IJkUEAW","","SC-000010760","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e0000005573EAA","10.0","LLC_BI__Product_Package_Compliance_Information","","","","Information","42581610912754562","LLC_BI__Product_Package__c","","","","false","","false"
"a2H5e000000IJkVEAW","","SC-000010761","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e0000005574EAA","20.0","LLC_BI__Product_Package_Exposure_Information","","","","Exposure","42211120804602449","LLC_BI__Product_Package__c","","","","false","","false"
"a2H5e000000IJkWEAW","","SC-000010762","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e0000005575EAA","10.0","LLC_BI__ReviewDisplay","","","","Review Detail","42715490725062598","LLC_BI__Product_Package__c","","","","false","","false"
"a2H5e000000IJkXEAW","","SC-000010763","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:46.000Z","0055e000003ZErQAAW","","","","a2F5e0000005576EAA","1.01","LLC_BI__Account_Proforma_ECA","","","","Account Proforma Options","42206009083433928","Account","","","","false","","false"
