"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2F5e000000553SEAQ","","Authorized Signer","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","31.0","slide","true","false","true","false","","false","","a2I5e000000df0KEAQ","MappedSObjectHierarchyScreenResource","","42027721379872395","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553TEAQ","","Loan Team","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","90.0","slide","true","true","false","false","","false","","a2I5e000000df0LEAQ","MappedSObjectHierarchyScreenResource","","42173504620836123","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553UEAQ","","Loan Summary","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","20.0","slide","true","true","false","false","","false","","a2I5e000000df0MEAQ","MappedSObjectScreenResource","","42545291378580155","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553VEAQ","","Relationship Summary","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2I5e000000df0NEAQ","MappedSObjectHierarchyScreenResource","","42343868621932517","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553WEAQ","","Approval History","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:43.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a2J5e0000005ZsmEAE","42464141417706923","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553XEAQ","","Related Exposure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a2I5e000000df0OEAQ","MappedSObjectHierarchyScreenResource","","42574991002308206","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553YEAQ","","Borrower Structure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2I5e000000df0PEAQ","MappedSObjectHierarchyScreenResource","","42177218810258185","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553ZEAQ","","Collateral Summary","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","70.0","slide","true","true","false","false","","false","","a2I5e000000df0QEAQ","MappedSObjectHierarchyScreenResource","","42740809875103508","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553aEAA","","Policy Exceptions","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","a2I5e000000df0REAQ","MappedSObjectHierarchyScreenResource","","42418219770206741","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553bEAA","","Covenants Summary","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","80.0","slide","true","true","false","false","","false","","a2I5e000000df0SEAQ","MappedSObjectHierarchyScreenResource","","42164062362545791","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553cEAA","","Third Party Reports","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","100.0","slide","true","true","false","false","","false","","a2I5e000000df0TEAQ","MappedSObjectHierarchyScreenResource","","42894538487195645","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553dEAA","","Fees","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","110.0","slide","true","true","false","false","","false","","a2I5e000000df0UEAQ","MappedSObjectHierarchyScreenResource","","42443076721790631","LLC_BI__Loan__c","","","","","","false","false",""
"a2F5e000000553eEAA","","Participations","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:23.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UtoEAE","false","false","false","false","false","120.0","slide","true","true","false","false","","false","","a2I5e000000df0VEAQ","MappedSObjectHierarchyScreenResource","","4271949971284044","LLC_BI__Loan__c","","","","","","false","false",""
