"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H5e000000IJr6EAG","","SC-000011289","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:45.000Z","0055e000003ZErQAAW","","","","a2F5e000000553fEAA","1.01","","","","","","42814716829316640","LLC_BI__Loan__c","","","","false","","false"
"a2H5e000000IJr7EAG","","SC-000011290","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:45.000Z","0055e000003ZErQAAW","","","","a2F5e000000553fEAA","2.01","LLC_BI__Entity_ID","","a2H5e000000IJr6EAG","LLC_BI__Legal_Entities__r","","42133223742251863","LLC_BI__Legal_Entities__c","","","","false","","false"
"a2H5e000000IJr8EAG","","SC-000011291","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:45.000Z","0055e000003ZErQAAW","","","","a2F5e000000553fEAA","3.01","","","a2H5e000000IJr7EAG","LLC_BI__Account__r","","42335045047139733","Account","","","","false","","false"
"a2H5e000000IJr9EAG","","SC-000011292","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:00:45.000Z","0055e000003ZErQAAW","","","","a2F5e000000553fEAA","4.01","LLC_BI__Bundle_ID","","a2H5e000000IJr8EAG","LLC_BI__Underwriting_Bundle__r","","42467482897158934","LLC_BI__Underwriting_Bundle__c","","","","false","","false"
"a2H5e000000IJrAEAW","","SC-000011293","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553XEAQ","1.01","","a2C5e0000009dcMEAQ","","","","42687649982636770","LLC_BI__Loan__c","","","0.0","false","","false"
"a2H5e000000IJrBEAW","","SC-000011294","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553XEAQ","2.01","","a2C5e0000009dcNEAQ","a2H5e000000IJrAEAW","LLC_BI__Account__r","","42640753029786082","Account","","","0.0","false","","false"
"a2H5e000000IJrCEAW","","SC-000011295","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553XEAQ","3.01","","a2C5e0000009dcOEAQ","a2H5e000000IJrBEAW","LLC_BI__Legal_Entities__r","","42887180015658348","LLC_BI__Legal_Entities__c","","","0.0","false","","false"
"a2H5e000000IJrDEAW","","SC-000011296","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553XEAQ","4.01","Credit_Memo_Standard_Loan_Exp","a2C5e0000009dcPEAQ","a2H5e000000IJrCEAW","LLC_BI__Loan__r","Loans","42106515362771567","LLC_BI__Loan__c","","","0.0","false","","false"
"a2H5e000000IJrEEAW","","SC-000011297","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553XEAQ","4.02","Credit_Memo_Standard_Loan","a2C5e0000009dcQEAQ","a2H5e000000IJrCEAW","LLC_BI__Deposit__r","Deposits","42025146441239655","LLC_BI__Deposit__c","","","0.0","false","","false"
"a2H5e000000IJrFEAW","","SC-000011298","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:06:17.000Z","0055e000003ZErQAAW","","","","a2F5e000000553SEAQ","1.01","","a2C5e0000009dcREAQ","","","Authorized Signers","42528894637418645","LLC_BI__Loan__c","","","","false","","false"
